MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Pradan Baruah,Elected,29-Nov-16,In office,First,Urban Development,Assam,Lakhimpur,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Mech. Engg. In 1985 from Dibrugarh Politechnic, Assam, Passed H.S.L.C. from SEBA in 1980 from Silapathar R.H.S. School",52,0,0,0,59%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),15.6,0.6,79,80%,12.2,0.5,47,74%
Prahlad Singh Patel,Elected,18-May-14,In office,Fourth,Rural Development ,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., LL.B., M.A. (Philosophy); Educated at Adarsh Vigyan Mahavidyalaya and U.T.D. Rani Durgawati University, Jabalpur (Madhya Pradesh)",57,142,6,372,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Prakash Babanna Hukkeri,Elected,18-May-14,In office,First,Water Resources ,Karnataka,Chikkodi,Indian National Congress,Male,Inter/ Higher Secondary,SSLC,71,11,0,2,34%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Pralhad Venkatesh Joshi,Elected,18-May-14,In office,Third,"Petroleum & Natural Gas and Personnel, Public Grievances, Law and Justice",Karnataka,Dharwad,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",55,77,5,389,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Prasanna Kumar Patasani,Elected,18-May-14,In office,Fifth,Industry,Odisha,Bhubaneswar,Biju Janata Dal,Male,Doctorate,"M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer",71,35,0,6,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Prasun Banerjee,Elected,18-May-14,In office,Second,Information Technology,West Bengal,Howrah,All India Trinamool Congress,Male,Graduate,B.Sc.,62,1,0,39,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Prathap Simha,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Karnataka,Mysore,Bharatiya Janata Party,Male,Post Graduate,Master in Communication and Journalism,41,11,0,579,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Pratima Mondal,Elected,18-May-14,In office,First,Petroleum & Natural Gas,West Bengal,Jaynagar,All India Trinamool Congress,Female,Post Graduate,"M.A., B.Ed.",52,58,0,34,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Pratyusha Rajeshwari Singh,Elected,19-Oct-14,In office,First,Defence,Odisha,Kandhamal,Biju Janata Dal,Female,Graduate,"B.A., Sophia Girls College, Ajmer, Rajasthan",46,14,0,132,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),52.7,1.7,224,80%,47,2.6,172,82%
Pravin Kumar Nishad,Elected,16-Mar-18,In office,First,No,Uttar Pradesh,Gorakhpur,Samajwadi Party,Male,Professional Graduate,"Mechanical Engineering from Gautam Buddha University, Lucknow",29,0,0,0,50%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),0,0,4,80%,0,0,2,87%
Prem Das Rai,Elected,18-May-14,In office,Second,Finance,Sikkim,Sikkim,Sikkim Democratic Front,Male,Graduate,"B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat",63,64,3,365,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64,3,365,79%
Prem Singh Chandumajra,Elected,18-May-14,In office,Third,Home Affairs,Punjab,Anandpur Sahib,Shiromani Akali Dal,Male,Post Graduate,"M.A. (Economics), M.A. (Political Science)
Educated at P. B. University Patiala",68,149,0,362,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Pritam Gopinath Munde,Elected,19-Oct-14,In office,First,Energy,Maharashtra,Beed,Bharatiya Janata Party,Female,Professional Graduate,"MBBS, D.Y. Patil Institute, Navi Mumbai",35,29,0,262,58%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),52.7,1.7,224,80%,53.6,3.3,457,79%
Priyanka Singh Rawat,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Barabanki,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Mass Communication in Electronic Media in Journalism.",32,34,0,0,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Purno Agitok Sangma,Elected,18-May-14,04/03/2016,Ninth,No,Meghalaya,Tura,National Peoples Party,Male,Post Graduate,"B.A. (Hons.), M.A., LL.B. 
Educated at St. Anthony?s College, Shillong
and Dibrugarh University (Assam)",70,4,0,3,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),27,0.9,118,80%,8.3,2.1,59,75%
Pushpendra Singh Chandel,Elected,18-May-14,In office,First,Finance,Uttar Pradesh,Hamirpur,Bharatiya Janata Party,Male,Post Graduate,"MA, LLB",44,1563,15,351,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
R. Gopalakrishnan,Elected,18-May-14,In office,First,Urban Development,Tamil Nadu,Madurai,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.Com.,49,24,0,369,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
R. Parthipan,Elected,18-May-14,In office,First,Labour ,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.A. Degree,54,22,0,274,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
R. Radhakrishnan,Elected,18-May-14,In office,First,Railways ,Puducherry,Puducherry,All India N.R. Congress,Male,Professional Post Graduate,"B.Com., M.B.A.",46,8,0,11,60%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,8,0,11,60%
R. Vanaroja,Elected,18-May-14,In office,First,Information Technology,Tamil Nadu,Tiruvannamalai,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,"M.A., B.Ed.",59,47,0,355,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
R.K. Bharathi Mohan,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Diploma Course,Diploma Course,50,49,0,209,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
R.P. Marutharajaa,Elected,18-May-14,In office,First,Energy,Tamil Nadu,Perambalur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.Sc.,55,16,0,215,70%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
Rabindra Kumar Jena,Elected,18-May-14,In office,First,Industry,Odisha,Balasore,Biju Janata Dal,Male,Professional Post Graduate,M.B.A.,50,269,12,439,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Radha Mohan Singh,Elected,18-May-14,In office,Fifth,No,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Radheshyam Biswas,Elected,18-May-14,In office,First,Water Resources ,Assam,Karimganj,All India United Democratic Front,Male,Under Graduate,Under Graduate,64,64,0,179,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Raghav Lakhanpal,Elected,18-May-14,In office,First,External Affairs,Uttar Pradesh,Saharanpur,Bharatiya Janata Party,Male,Professional Post Graduate,M.B.A.,43,51,5,321,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Raghu Sharma,Elected,5-Feb-18,In office,First,No,Rajasthan,Ajmer,Indian National Congress,Male,Doctorate,Ph.D,63,2,0,1,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),1.1,0,15,80%,1.6,0,18,88%
Rahul Gandhi,Elected,18-May-14,In office,Third,External Affairs,Uttar Pradesh,Amethi,Indian National Congress,Male,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",47,11,0,0,53%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Rahul Kaswan,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,"B.Com., PGDM",41,111,0,385,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Rahul Ramesh Shewale,Elected,18-May-14,In office,First,Urban Development,Maharashtra,Mumbai-South-Central,Shiv Sena,Male,Diploma Course,Diploma (Civil Engineering),44,176,8,712,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Raj Kumar Saini,Elected,18-May-14,In office,First,Industry,Haryana,Kurukshetra,Bharatiya Janata Party,Male,Graduate,Graduate,64,23,0,46,89%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,53.8,2.8,227,86%
Raj Kumar Singh,Elected,18-May-14,In office,First,No,Bihar,Arrah,Bharatiya Janata Party,Male,Professional Graduate,B.A. LL.B,65,18,0,47,97%,"This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",54.2,1.6,215,80%,48.5,2.5,149,88%
Rajan Baburao Vichare,Elected,18-May-14,In office,First,Industry,Maharashtra,Thane,Shiv Sena,Male,Inter/ Higher Secondary,Inter/Higher Secondary,56,43,0,420,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Rajeev Shankarrao Satav,Elected,18-May-14,In office,First,Railways ,Maharashtra,Hingoli,Indian National Congress,Male,Post Graduate,"B.Sc, M.A., LL.B",43,171,15,878,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Rajen Gohain,Elected,18-May-14,In office,Fourth,No,Assam,Nawgong,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ",67,8,0,23,68%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,24.9,0,71,74%
Rajendra Agrawal,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",68,155,5,253,99%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Rajesh Kumar Diwaker,Elected,18-May-14,In office,First,Labour ,Uttar Pradesh,Hathras,Bharatiya Janata Party,Male,Graduate,Graduate,47,6,0,213,99%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Rajesh Pandey Urf Guddu,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Uttar Pradesh,Khushi Nagar,Bharatiya Janata Party,Male,Post Diploma Course,"P.G.D.B.A. educated at Institute of Productivity and Management, Lucknow (U.P.)",59,8,2,81,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Rajesh Ranjan @ Pappu Yadav,Elected,18-May-14,In office,Fifth,"Transport, Tourism and Culture",Bihar,Madhepura,Rashtriya Janata Dal,Male,Graduate,B.A.,50,194,19,289,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Rajesh Verma,Elected,18-May-14,In office,Third,Petroleum & Natural Gas,Uttar Pradesh,Sitapur,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics) 
Educated at Lucknow University, Lucknow and Kanpur University, Kanpur (Uttar Pradesh)",57,14,0,222,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Rajiv Pratap Rudy,Elected,18-May-14,In office,Third,"Finance and Personnel, Public Grievances, Law and Justice",Bihar,Saran,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",55,12,6,77,88%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",8.8,0.3,45,80%,10.6,0.5,34,88%
Rajnath Singh,Elected,18-May-14,In office,Second,No,Uttar Pradesh,Lucknow,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raju Shetti,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Maharashtra,Hatkanangle,Swabhimani Paksha,Male,Diploma Course,"D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra",50,49,3,376,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Rajveer Singh (Raju Bhaiya),Elected,18-May-14,In office,First,Industry,Uttar Pradesh,Etah,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",59,14,0,20,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Rajyavardhan Singh Rathore,Elected,18-May-14,In office,First,No,Rajasthan,Jaipur Rural,Bharatiya Janata Party,Male,Graduate,B.A,48,1,0,6,94%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,8.8,0.3,22,88%
Rakesh Singh,Elected,18-May-14,In office,Third,"Coal & Steel and Transport, Tourism and Culture",Madhya Pradesh,Jabalpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",55,35,7,223,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Raksha Nikhil Khadase,Elected,18-May-14,In office,First,Agriculture,Maharashtra,Raver,Bharatiya Janata Party,Female,Graduate,B.Sc (Computer Science),30,49,0,396,76%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Ram Chandra Paswan,Elected,18-May-14,In office,Third,"Food, Consumer Affairs & Public Distribution",Bihar,Samastipur,Lok Jan Shakti Party,Male,Matric,Matriculate,56,2,0,3,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Ram Charitra Nishad,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter-mediate,53,22,0,476,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Ram Kripal Yadav,Elected,18-May-14,In office,Fourth,No,Bihar,Pataliputra,Bharatiya Janata Party,Male,Professional Graduate,"B.A.(Hons.), LL.B. ; Educated at Magadh University, Patna (Bihar)",60,19,0,1,91%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,7.5,0.3,17,88%
